T;V;P;P2;
291.046;198.527;67.696;;
291.046;198.527;67.696;;
291.046;198.527;67.696;;
291.046;198.527;67.696;;
291.046;198.527;67.696;;
291.046;198.527;67.696;;
291.046;198.527;67.696;;
291.046;198.527;68.235;;
291.046;198.527;68.235;;
291.397;198.527;67.696;;
291.046;198.527;68.235;;
291.397;198.527;68.235;;
291.748;198.527;68.235;;
291.397;198.527;68.235;;
291.748;198.527;68.235;;
291.748;198.527;68.235;;
291.748;198.527;68.235;;
291.748;198.527;67.696;;
292.098;198.527;68.235;;
292.098;198.527;68.235;;
292.449;198.527;68.235;;
292.449;198.527;68.235;;
292.449;198.527;68.235;;
292.449;198.527;68.235;;
292.449;198.527;68.235;;
292.449;198.527;68.235;;
292.8;198.527;68.235;;
292.8;198.527;68.235;;
293.151;198.527;68.235;;
293.151;198.527;68.235;;
293.151;198.527;68.235;;
293.151;198.527;68.235;;
293.151;198.527;68.235;;
293.151;198.687;68.235;;
293.852;198.527;68.235;;
293.852;198.687;67.696;;
293.852;198.527;68.235;;
293.852;198.527;68.774;;
293.852;198.527;68.774;;
293.852;198.527;68.235;;
293.852;198.527;68.235;;
293.852;198.527;68.774;;
294.203;198.527;68.774;;
294.203;198.527;68.235;;
294.203;198.527;68.774;;
294.203;198.527;68.235;;
294.554;198.527;68.235;;
294.203;198.527;68.235;;
294.554;198.527;68.774;;
294.554;198.527;68.235;;
294.554;198.527;68.774;;
294.554;198.527;68.235;;
294.905;198.527;68.774;;
294.905;198.527;68.235;;
294.905;198.527;68.774;;
294.905;198.527;68.235;;
294.905;198.527;68.235;;
295.255;198.527;68.235;;
295.255;198.527;68.235;;
295.255;198.527;68.235;;
295.255;198.527;68.774;;
295.255;198.527;68.235;;
295.255;198.527;68.774;;
295.255;198.527;68.774;;
295.606;198.527;68.774;;
295.957;198.527;68.774;;
295.606;198.527;68.774;;
295.957;198.527;68.235;;
295.957;198.527;68.774;;
295.957;198.527;68.774;;
295.957;198.527;68.774;;
295.957;198.527;68.774;;
295.957;198.527;68.774;;
295.957;198.527;68.774;;
296.308;198.527;68.774;;
295.957;198.527;68.774;;
296.659;198.527;68.774;;
296.308;198.527;68.774;;
296.659;198.527;68.774;;
296.308;198.527;68.774;;
296.659;198.527;68.774;;
296.308;198.527;68.774;;
296.659;198.527;68.774;;
296.659;198.527;68.774;;
296.659;198.527;68.774;;
296.659;198.527;68.774;;
296.659;198.527;68.774;;
296.659;198.527;68.774;;
296.659;198.527;68.774;;
296.659;198.527;68.774;;
296.659;198.527;68.774;;
296.659;198.527;68.774;;
296.659;198.527;68.774;;
296.659;198.527;68.774;;
297.009;198.527;68.774;;
297.009;198.527;68.774;;
296.659;198.527;68.774;;
297.009;198.527;68.774;;
297.009;198.527;68.774;;
297.009;198.527;68.774;;
297.009;198.527;68.774;;
297.009;198.527;68.774;;
297.009;198.527;68.774;;
297.009;198.527;68.774;;
297.009;198.527;68.774;;
297.36;198.527;68.774;;
297.36;198.527;68.774;;
297.36;198.527;68.774;;
297.009;198.527;68.774;;
297.36;198.527;68.774;;
297.36;198.527;68.774;;
297.36;198.527;68.774;;
297.36;198.527;68.774;;
297.36;198.527;68.774;;
297.36;198.527;68.774;;
297.36;198.527;68.774;;
297.36;198.527;68.774;;
297.36;198.527;68.774;;
297.36;198.527;68.774;;
297.36;198.687;68.774;;
297.36;198.527;68.774;;
297.36;198.527;68.774;;
297.36;198.527;68.774;;
297.36;198.527;68.774;;
297.711;198.527;68.774;;
297.711;198.527;68.774;;
297.711;198.527;68.774;;
297.711;198.527;68.774;;
297.711;198.527;68.774;;
297.711;198.527;68.774;;
297.711;198.527;68.774;;
298.062;198.527;68.774;;
297.711;198.527;68.774;;
298.062;198.527;68.774;;
297.711;198.527;68.774;;
298.062;198.527;68.774;;
298.062;198.527;68.774;;
298.062;198.527;68.774;;
298.062;198.527;68.774;;
298.062;198.527;68.774;;
298.062;198.527;68.774;;
298.062;198.527;68.774;;
298.062;198.527;68.774;;
298.062;198.527;68.774;;
298.062;198.687;68.774;;
298.062;198.527;68.774;;
298.062;198.527;68.774;;
298.062;198.527;68.774;;
298.062;198.527;68.774;;
298.062;198.527;69.313;;
298.062;198.527;68.774;;
298.062;198.527;68.774;;
298.062;198.527;68.774;;
298.062;198.527;69.313;;
298.062;198.527;68.774;;
298.062;198.527;68.774;;
298.062;198.527;68.774;;
298.062;198.527;68.774;;
298.062;198.527;68.774;;
298.412;198.527;68.774;;
298.062;198.527;68.774;;
298.412;198.527;68.774;;
298.412;198.527;68.774;;
298.062;198.527;68.774;;
298.412;198.527;68.774;;
298.412;198.527;68.774;;
298.412;198.527;68.774;;
298.412;198.527;69.313;;
298.062;198.527;68.774;;
298.412;198.527;68.774;;
298.412;198.527;68.774;;
298.412;198.527;68.774;;
298.412;198.527;68.774;;
298.412;198.527;68.774;;
298.412;198.527;68.774;;
298.412;198.527;68.774;;
298.763;198.527;69.313;;
298.412;198.527;68.774;;
298.763;198.527;68.774;68.774;
298.763;198.206;69.313;68.9299844;
298.763;197.884;69.313;69.08706504;
298.763;197.242;69.313;69.40208847;
299.465;196.278;69.852;69.87976286;
299.465;195.153;70.39;70.4443833;
299.465;193.707;71.468;71.18168346;
300.166;191.94;72.546;72.10078771;
300.868;189.852;73.623;73.21337861;
301.569;187.924;74.701;74.26711424;
302.271;185.835;75.778;75.43852344;
303.674;184.068;76.856;76.45432973;
304.376;182.301;77.934;77.493812;
305.077;180.855;78.472;78.36262366;
305.779;179.57;79.55;79.14881197;
306.48;178.766;80.089;79.64762028;
307.182;177.963;80.628;80.1512114;
307.883;177.16;80.628;80.66028569;
308.234;176.196;81.705;81.2787907;
308.585;175.393;82.244;81.8002323;
309.287;174.107;82.783;82.64735722;
309.988;172.822;83.861;83.50895684;
310.69;171.376;84.938;84.4970785;
311.391;169.93;85.477;85.50541433;
311.742;168.324;87.093;86.64973441;
312.794;166.557;88.171;87.93943083;
313.496;165.111;89.249;89.01952761;
314.197;163.183;90.865;90.4954654;
315.25;161.416;91.943;91.88539418;
316.302;159.97;93.02;93.05029052;
317.004;158.363;94.098;94.37489635;
317.705;156.596;95.714;95.8691255;
319.108;155.15;96.792;97.12235494;
319.81;153.544;97.87;98.54752141;
320.511;152.259;99.486;99.71386122;
321.213;150.973;100.025;100.9050024;
321.915;149.849;101.102;101.9662171;
322.967;148.885;102.18;102.8917071;
323.668;147.6;103.258;104.1479667;
324.721;146.475;103.797;105.2695549;
325.072;145.35;104.874;106.4120098;
325.422;144.226;106.491;107.5748412;
326.475;142.941;107.568;108.9311663;
327.527;141.655;108.646;110.3181637;
327.878;140.049;109.723;112.0933063;
328.93;138.603;111.879;113.7339214;
330.333;137.318;112.956;115.2267304;
330.333;136.193;114.034;116.5614644;
331.385;135.069;115.65;117.9217017;
332.087;133.944;116.728;119.3106265;
333.139;132.98;117.267;120.5232505;
333.841;132.177;118.344;121.5495763;
334.192;131.374;118.883;122.5909763;
334.542;130.731;119.961;123.4359545;
335.244;130.249;120.5;124.0759301;
335.946;129.446;121.038;125.1548279;
336.296;129.124;121.577;125.5919885;
336.647;128.161;122.655;126.915146;
337.349;127.197;123.732;128.2637935;
337.699;126.233;125.349;129.6371967;
338.401;125.269;125.888;131.0360042;
339.103;123.984;127.504;132.9412614;
339.804;123.02;129.659;134.4019855;
340.155;121.734;130.198;136.3939311;
341.558;120.771;131.815;137.9189585;
341.558;119.807;132.892;139.475082;
342.26;119.164;133.97;140.5298537;
343.312;118.361;134.509;141.8664235;
343.663;117.879;135.586;142.6792034;
344.364;117.236;136.664;143.7759702;
344.364;116.754;137.203;144.6076339;
345.066;116.272;137.742;145.4475788;
345.767;115.469;138.819;146.8656154;
346.118;114.505;139.897;148.5995399;
347.17;113.38;142.052;150.6678748;
347.521;111.774;144.207;153.7073325;
348.574;110.328;146.901;156.5350703;
349.977;108.561;149.595;160.1136386;
351.38;106.954;152.828;163.4917536;
352.783;105.508;155.522;166.6372728;
353.484;104.384;157.677;169.1547459;
354.888;103.581;158.755;170.9934823;
355.589;103.099;159.833;172.1137084;
356.291;102.777;159.833;172.8691055;
356.992;102.617;160.372;173.2465746;
357.343;102.617;159.833;173.2465746;
357.694;102.135;160.372;174.392284;
358.395;101.653;160.91;175.5510438;
358.395;100.849;163.066;177.5135304;
359.097;99.243;165.76;181.5481629;
360.5;97.315;170.07;186.6035898;
361.903;94.905;175.458;193.2711208;
364.008;92.495;181.385;200.3577457;
365.411;91.371;184.618;203.8167945;
366.814;91.371;184.079;203.8167945;
367.165;91.532;183.002;203.3150668;
367.516;91.532;182.463;203.3150668;
367.516;91.532;181.924;203.3150668;
367.516;91.532;181.385;203.3150668;
367.165;91.532;181.385;203.3150668;
367.165;91.532;180.846;203.3150668;
366.814;91.532;180.846;203.3150668;
366.112;91.532;180.307;203.3150668;
365.411;91.532;179.769;203.3150668;
364.709;91.532;179.769;203.3150668;
364.008;91.532;179.23;203.3150668;
362.955;91.532;178.691;203.3150668;
361.903;91.532;178.691;203.3150668;
361.202;91.532;178.152;203.3150668;
360.149;91.532;177.613;203.3150668;
359.097;91.532;177.613;203.3150668;
358.395;91.532;177.613;203.3150668;
356.992;91.532;177.075;203.3150668;
355.589;91.532;176.536;203.3150668;
354.537;91.532;175.997;203.3150668;
353.484;91.532;175.458;203.3150668;
352.783;91.532;175.458;203.3150668;
351.38;91.532;175.458;203.3150668;
350.678;91.532;175.458;203.3150668;
349.977;91.532;174.919;203.3150668;
348.924;91.532;174.381;203.3150668;
347.872;91.532;174.381;203.3150668;
347.17;91.532;173.842;203.3150668;
346.469;91.532;173.842;203.3150668;
345.767;91.532;173.303;203.3150668;
344.715;91.692;173.303;202.8185493;
344.364;91.532;172.764;203.3150668;
343.312;91.532;172.225;203.3150668;
342.961;91.532;172.225;203.3150668;
342.26;91.532;172.225;203.3150668;
341.558;91.692;171.687;202.8185493;
340.856;91.532;171.148;203.3150668;
340.506;91.532;171.148;203.3150668;
339.804;91.532;171.148;203.3150668;
339.103;91.532;171.148;203.3150668;
338.752;91.532;170.609;203.3150668;
338.05;91.532;170.609;203.3150668;
337.699;91.532;170.07;203.3150668;
337.349;91.532;170.07;203.3150668;
336.647;91.532;170.07;203.3150668;
336.296;91.532;169.531;203.3150668;
335.946;91.532;168.992;203.3150668;
335.244;91.532;168.992;203.3150668;
335.244;91.532;168.992;203.3150668;
334.542;91.532;168.992;203.3150668;
334.192;91.532;168.454;203.3150668;
333.841;91.532;168.454;203.3150668;
333.139;91.532;168.454;203.3150668;
333.139;91.532;167.915;203.3150668;
333.139;91.532;168.454;203.3150668;
332.438;91.532;167.915;203.3150668;
332.087;91.532;167.376;203.3150668;
331.736;91.532;166.837;203.3150668;
331.385;91.692;166.837;202.8185493;
331.035;91.532;166.837;203.3150668;
330.684;91.692;166.837;202.8185493;
330.333;91.692;166.837;202.8185493;
330.333;91.532;166.837;203.3150668;
330.333;91.532;166.298;203.3150668;
329.632;91.532;166.298;203.3150668;
329.632;91.532;165.76;203.3150668;
329.281;91.532;165.76;203.3150668;
328.93;91.532;165.76;203.3150668;
328.93;91.532;165.76;203.3150668;
328.93;91.532;165.76;203.3150668;
328.579;91.532;165.76;203.3150668;
328.229;91.532;165.221;203.3150668;
328.229;91.532;165.221;203.3150668;
327.878;91.532;165.221;203.3150668;
327.527;91.532;164.682;203.3150668;
327.527;91.532;164.682;203.3150668;
327.527;91.532;164.682;203.3150668;
327.527;91.532;164.682;203.3150668;
326.825;91.532;164.682;203.3150668;
326.475;91.532;164.682;203.3150668;
326.475;91.532;164.682;203.3150668;
326.124;91.532;164.682;203.3150668;
326.124;91.532;164.143;203.3150668;
325.773;91.532;164.143;203.3150668;
325.422;91.532;164.143;203.3150668;
325.422;91.532;164.143;203.3150668;
324.721;91.532;164.143;203.3150668;
324.721;91.532;163.604;203.3150668;
324.721;91.532;163.604;203.3150668;
324.721;91.532;163.604;203.3150668;
