T;V;P;PI;
288.24;198.527;100.025;;
288.24;198.527;100.025;;
288.24;198.527;100.025;;
288.24;198.527;100.564;;
288.24;198.687;100.564;;
288.24;198.527;100.564;;
288.24;198.687;100.025;;
288.24;198.527;100.564;;
288.24;198.527;100.564;;
288.591;198.527;100.564;;
288.591;198.687;100.025;;
288.591;198.687;100.564;;
288.591;198.527;100.564;;
288.591;198.687;100.564;;
288.941;198.527;100.564;;
288.941;198.687;100.564;;
288.941;198.527;100.564;;
288.941;198.527;100.564;;
288.941;198.687;100.564;;
288.941;198.527;100.564;;
288.941;198.687;101.102;;
288.941;198.527;100.564;;
288.941;198.527;100.564;;
289.292;198.527;100.025;;
288.941;198.687;100.564;;
289.292;198.687;100.564;;
289.292;198.687;100.564;;
289.292;198.687;101.102;;
289.643;198.527;100.564;;
289.643;198.527;101.102;;
289.643;198.527;101.102;;
289.643;198.527;101.102;;
289.643;198.687;101.102;;
289.643;198.527;101.102;;
289.643;198.527;100.564;;
289.643;198.687;101.102;;
289.643;198.527;101.102;;
289.643;198.687;101.102;;
289.643;198.527;101.102;;
289.643;198.687;101.102;;
289.643;198.527;101.102;;
289.994;198.527;101.102;;
289.643;198.527;101.102;;
289.994;198.527;101.102;;
289.994;198.527;101.102;;
289.994;198.527;101.102;;
289.994;198.687;101.102;;
290.345;198.527;101.102;;
289.994;198.527;101.102;;
289.994;198.527;101.102;;
289.994;198.527;101.102;;
290.345;198.687;101.102;;
290.345;198.527;101.102;;
290.345;198.527;101.102;;
290.345;198.687;101.102;;
290.345;198.527;101.102;;
290.345;198.527;101.102;;
290.345;198.527;101.102;;
290.345;198.687;101.102;;
291.046;198.527;101.641;;
291.046;198.687;101.102;;
291.046;198.687;101.102;;
291.046;198.527;101.102;;
291.046;198.527;101.102;;
291.046;198.527;101.641;;
291.046;198.527;101.102;;
291.046;198.527;101.102;;
291.046;198.687;101.102;;
291.046;198.527;101.102;;
291.046;198.687;101.641;;
291.046;198.687;101.641;;
291.046;198.527;101.641;;
291.046;198.687;101.641;;
291.046;198.527;101.641;;
291.046;198.527;101.102;;
291.046;198.527;101.102;;
291.046;198.687;101.641;;
291.046;198.527;101.102;;
291.046;198.687;101.641;;
