P	V
2096	2600
2120	2600
2128	2560
2128	2440
2152	2560
2152	2440
2160	2440
2152	2280
2176	2400
2176	2240
2184	2240
2184	2120
2208	2240
2208	2120
2232	2080
2240	1960
2240	1920
2240	1800
2256	1920
2264	1800
2272	1640
2288	1760
2296	1640
2296	1600
2296	1480
2320	1640
2320	1520
2320	1440
2328	1320
2344	1480
2344	1320
2352	1320
2352	1240
2376	1320
2376	1240
2384	1160
2408	1160
2408	1040
2416	1040
2416	920
2448	920
2456	800
2472	920
2472	800
2488	800
2480	680
2512	680
2512	600
2536	600
2544	520
2568	520
2568	480
2600	360
2632	360
2632	280
2696	160
2728	200
2728	120
2752	120
2808	80
2808	0
2832	40
2840	40
2864	40
2864	-40
2928	-40
2944	40
2976	80
3008	120
2960	880
2952	960
2968	1000
2952	1120
2936	1080
2936	1120
2920	1160
2920	1200
2904	1200
2896	1360
2880	1320
2856	1560
2840	1560
2832	1680
2816	1680
2832	1800
2808	1800
2784	1800
2792	1960
2760	1920
2760	2040
2760	2080
2744	2040
2760	2200
2736	2200
2736	2160
2712	2200
2736	2320
2712	2320
2720	2280
2688	2280
2712	2440
2688	2440
2656	2440
2688	2560
2656	2560
2656	2680
2640	2680
2608	2680
2632	2840
2592	2840
2584	2920
2560	2960
2560	3160
2512	3240
2520	3320
2504	3320
2480	3360
2496	3440
2448	3560
2432	3560
2448	3640
2424	3680
2400	3640
2376	3760
2400	3880
2376	3880
2352	3960
2328	4000
2352	4040
2328	4080
2304	4080
2320	4160
2296	4160
2272	4160
2296	4240
2272	4280
2248	4280
2248	4360
2216	4360
2248	4440
2200	4440
2216	4480
2200	4480
2176	4520
2192	4600
2128	4640
2112	4680
2080	4800
2072	4880
2072	4920
2056	4880
1960	5000
1944	4520
1936	4240
1984	3760
1992	3800
1992	3680
2000	3520
2000	3400
2016	3320
2024	3240
2032	3240
2056	3240
2048	3080
2072	3040
2096	2920
2104	2840
2120	2760
2120	2640
2176	2440
2176	2280
2176	2320
2200	2320
2208	2200
2208	2160
2232	2120
2232	2000
2256	2000
2264	1880
2264	1720
2288	1800
2320	1680
2320	1560
2328	1440
2344	1520
2352	1280
2376	1400
2384	1280
2400	1240
2400	1080
2408	1080
2440	1120
2464	960
2480	840
2504	840
2504	760
2504	640
2568	640
2600	520
2600	440
2656	360
2664	200
2688	240
2720	240
2720	120
2752	80
2768	160
2776	80
2776	40
2808	40
2856	-40
2880	40
2920	40
2960	960
2968	1040
2952	1040
2904	1400
2880	1480
2888	1560
2848	1640
2864	1720
2824	1720
2824	1800
2800	1920
2768	2080
2768	2040
2744	2200
2728	2200
2720	2320
2720	2400
2544	3120
2536	3120
2488	3480
2456	3520
2440	3600
2384	3960
2336	4160
2280	4240
2256	4240
2176	4600
2128	4720
2096	4760
2032	4920
1928	4480
1944	4040
1984	3680
1984	3560
2008	3400
2016	3280
2072	3000
2072	2880
2088	3000
2176	2360
2224	2200
2224	1920
2256	1760
2280	1600
2304	1680
2344	1440
2336	1320
2400	1160
2400	1040
2464	920
2464	800
2488	760
2520	760
2536	640
2584	440
2624	280
2656	240
2688	160
2800	40
2936	40
2920	1400
2888	1480
2872	1720
2848	1720
2824	1920
2776	1960
2792	2080
2784	2080
2776	2040
2744	2320
2728	2320
2704	2320
2728	2440
2672	2600
2672	2640
2624	2680
2600	2800
2544	3040
2520	3160
2456	3560
2392	3720
2384	3920
2336	3920
2248	4200
2184	4480
2008	4960
1992	4960
1944	4920
1944	4400
1952	4400
1968	3720
1992	3760
1984	3600
2048	3200

